account_id,customer_id,account_no,account_type,base_ccy,status,opened_dt
66,50,ACC0000066,IRA,USD,OPEN,2022-07-15
67,51,ACC0000067,MARGIN,USD,OPEN,2023-03-30
68,51,ACC0000068,MARGIN,USD,OPEN,2023-12-28
69,52,ACC0000069,CASH,USD,OPEN,2022-06-02
70,53,ACC0000070,CASH,USD,OPEN,2018-12-10
71,54,ACC0000071,401K,USD,OPEN,2019-07-10
72,54,ACC0000072,401K,USD,OPEN,2020-01-15
73,55,ACC0000073,CASH,USD,OPEN,2020-12-01
74,56,ACC0000074,401K,USD,OPEN,2021-09-02
75,57,ACC0000075,MARGIN,USD,OPEN,2023-02-06
76,57,ACC0000076,IRA,USD,OPEN,2021-10-14
77,58,ACC0000077,401K,USD,OPEN,2021-02-13
78,59,ACC0000078,401K,USD,OPEN,2020-10-30
79,60,ACC0000079,CASH,USD,OPEN,2023-04-11
80,60,ACC0000080,CASH,USD,OPEN,2024-01-19
81,61,ACC0000081,CASH,USD,OPEN,2021-12-04
82,62,ACC0000082,MARGIN,USD,OPEN,2018-10-09
83,63,ACC0000083,CASH,USD,OPEN,2018-05-08
84,63,ACC0000084,MARGIN,USD,OPEN,2020-03-27
85,64,ACC0000085,CASH,USD,OPEN,2019-09-17
86,65,ACC0000086,MARGIN,USD,OPEN,2019-06-02
87,66,ACC0000087,401K,USD,OPEN,2019-04-14
88,66,ACC0000088,MARGIN,USD,OPEN,2023-03-20
89,67,ACC0000089,IRA,USD,OPEN,2022-02-19
90,68,ACC0000090,MARGIN,USD,OPEN,2024-10-17
91,69,ACC0000091,CASH,USD,OPEN,2019-11-02
92,69,ACC0000092,IRA,USD,OPEN,2019-03-19
93,70,ACC0000093,CASH,USD,OPEN,2021-07-01
94,71,ACC0000094,401K,USD,OPEN,2022-06-13
95,72,ACC0000095,MARGIN,USD,OPEN,2018-11-08
96,72,ACC0000096,MARGIN,USD,OPEN,2019-02-22
97,73,ACC0000097,IRA,USD,OPEN,2024-09-25
98,74,ACC0000098,CASH,USD,OPEN,2024-05-07
99,75,ACC0000099,CASH,USD,OPEN,2021-11-23
100,75,ACC0000100,401K,USD,OPEN,2022-02-26
101,76,ACC0000101,CASH,USD,OPEN,2023-09-04
102,77,ACC0000102,IRA,USD,OPEN,2018-02-21
103,78,ACC0000103,401K,USD,OPEN,2023-07-01
104,78,ACC0000104,CASH,USD,OPEN,2022-11-11
105,79,ACC0000105,IRA,USD,OPEN,2023-02-27
106,80,ACC0000106,MARGIN,USD,OPEN,2022-11-19
107,81,ACC0000107,MARGIN,USD,OPEN,2023-11-08
108,81,ACC0000108,IRA,USD,OPEN,2024-01-14
109,82,ACC0000109,401K,USD,OPEN,2023-03-20
110,83,ACC0000110,401K,USD,OPEN,2024-08-23
111,84,ACC0000111,IRA,USD,OPEN,2021-08-13
112,84,ACC0000112,MARGIN,USD,OPEN,2018-12-21
113,85,ACC0000113,IRA,USD,OPEN,2023-01-21
114,86,ACC0000114,MARGIN,USD,OPEN,2023-03-19
115,87,ACC0000115,401K,USD,OPEN,2021-10-09
116,87,ACC0000116,CASH,USD,OPEN,2023-07-18
117,88,ACC0000117,IRA,USD,OPEN,2020-01-15
118,89,ACC0000118,401K,USD,OPEN,2020-05-18
119,90,ACC0000119,IRA,USD,OPEN,2020-11-24
120,90,ACC0000120,IRA,USD,OPEN,2021-02-19
121,91,ACC0000121,IRA,USD,OPEN,2024-03-26
122,92,ACC0000122,CASH,USD,OPEN,2023-10-18
123,93,ACC0000123,MARGIN,USD,OPEN,2018-12-17
124,93,ACC0000124,MARGIN,USD,OPEN,2022-07-23
125,94,ACC0000125,401K,USD,OPEN,2024-03-24
126,95,ACC0000126,MARGIN,USD,OPEN,2023-05-05
127,96,ACC0000127,401K,USD,OPEN,2023-01-10
128,96,ACC0000128,CASH,USD,OPEN,2019-01-17
129,97,ACC0000129,IRA,USD,OPEN,2020-06-26
130,98,ACC0000130,401K,USD,OPEN,2020-09-23
131,99,ACC0000131,IRA,USD,OPEN,2024-07-10
132,99,ACC0000132,IRA,USD,OPEN,2023-04-23
133,100,ACC0000133,IRA,USD,OPEN,2022-10-09
134,101,ACC0000134,IRA,USD,OPEN,2021-12-12
135,102,ACC0000135,401K,USD,OPEN,2021-01-14
136,102,ACC0000136,IRA,USD,OPEN,2020-10-26
137,103,ACC0000137,MARGIN,USD,OPEN,2019-05-10
138,104,ACC0000138,MARGIN,USD,OPEN,2021-07-16
139,105,ACC0000139,CASH,USD,OPEN,2024-01-04
140,105,ACC0000140,MARGIN,USD,OPEN,2020-02-24
141,106,ACC0000141,MARGIN,USD,OPEN,2023-06-07
142,107,ACC0000142,IRA,USD,OPEN,2024-08-11
143,108,ACC0000143,IRA,USD,OPEN,2019-02-16
144,108,ACC0000144,MARGIN,USD,OPEN,2021-04-28
145,109,ACC0000145,MARGIN,USD,OPEN,2022-01-18
146,110,ACC0000146,MARGIN,USD,OPEN,2021-05-23
147,111,ACC0000147,CASH,USD,OPEN,2023-12-28
148,111,ACC0000148,MARGIN,USD,OPEN,2021-01-28
149,112,ACC0000149,CASH,USD,OPEN,2018-08-12
150,113,ACC0000150,IRA,USD,OPEN,2019-06-02
151,114,ACC0000151,401K,USD,OPEN,2019-02-25
152,114,ACC0000152,CASH,USD,OPEN,2024-06-09
153,115,ACC0000153,IRA,USD,OPEN,2023-04-07
154,116,ACC0000154,401K,USD,OPEN,2022-12-10
155,117,ACC0000155,IRA,USD,OPEN,2020-01-26
156,117,ACC0000156,CASH,USD,OPEN,2020-10-31
157,118,ACC0000157,401K,USD,OPEN,2019-04-13
158,119,ACC0000158,CASH,USD,OPEN,2022-06-30
159,120,ACC0000159,401K,USD,OPEN,2018-10-31
160,120,ACC0000160,CASH,USD,OPEN,2019-09-14
